epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,11958.7,0.99308,0.66853,1.06475,0.96309,0.93015,0.95786,0.75902,0.6828,0.37504,0.88007,0.0004258,0.0004258,0.0004258
118,12033.1,0.98845,0.66623,1.06161,0.96412,0.92784,0.95804,0.76024,0.68259,0.37461,0.8803,0.00042085,0.00042085,0.00042085
119,12105.8,0.98587,0.65826,1.06295,0.96527,0.92772,0.95813,0.76041,0.68235,0.3731,0.8801,0.0004159,0.0004159,0.0004159
120,12179.3,0.98679,0.668,1.06517,0.96797,0.92388,0.95831,0.76061,0.68244,0.37341,0.87998,0.00041095,0.00041095,0.00041095
121,12253.1,0.99915,0.67039,1.0668,0.96604,0.92456,0.95778,0.76093,0.6817,0.37274,0.87932,0.000406,0.000406,0.000406
122,12326.1,0.99415,0.67854,1.07018,0.96999,0.92042,0.95813,0.76186,0.68067,0.37229,0.87904,0.00040105,0.00040105,0.00040105
123,12398.5,0.97428,0.65039,1.05707,0.96518,0.9249,0.958,0.76187,0.67973,0.37189,0.87868,0.0003961,0.0003961,0.0003961
124,12471.1,0.97746,0.65927,1.05865,0.96689,0.92469,0.95833,0.76294,0.6794,0.37044,0.87835,0.00039115,0.00039115,0.00039115
125,12543.6,0.98683,0.65664,1.05849,0.96679,0.92504,0.95814,0.76289,0.67821,0.36964,0.87794,0.0003862,0.0003862,0.0003862
126,12616.5,0.98594,0.67319,1.06228,0.96523,0.92507,0.958,0.76349,0.67789,0.37046,0.87802,0.00038125,0.00038125,0.00038125
127,12688.9,0.98218,0.66262,1.06145,0.96774,0.92447,0.95813,0.7636,0.67756,0.36964,0.87801,0.0003763,0.0003763,0.0003763
128,12762.3,0.9699,0.64645,1.05952,0.96742,0.9253,0.958,0.76497,0.67724,0.3695,0.87828,0.00037135,0.00037135,0.00037135
129,12834.6,0.96834,0.64929,1.05452,0.96593,0.92617,0.9582,0.76614,0.67697,0.36976,0.87808,0.0003664,0.0003664,0.0003664
130,12907.5,0.97578,0.6512,1.05639,0.96666,0.92574,0.9578,0.76574,0.67659,0.37,0.87798,0.00036145,0.00036145,0.00036145
131,12980.3,0.97524,0.65251,1.05572,0.96303,0.92526,0.95756,0.767,0.67624,0.36979,0.8779,0.0003565,0.0003565,0.0003565
132,13054,0.97227,0.64576,1.0557,0.96188,0.92596,0.95779,0.76763,0.6757,0.36941,0.87772,0.00035155,0.00035155,0.00035155
133,13126.6,0.96038,0.6339,1.04576,0.96273,0.92601,0.95743,0.76651,0.67488,0.36869,0.87733,0.0003466,0.0003466,0.0003466
